,Network,Date,Time,Program,Length,Rating,Minute_In_Commercial,Total_Loss_perc
223,DKN,2015-10-12,10:43 PM,BLACK_S_BOT,60,2.1257825395528207,0,1.130695568125592
224,DKN,2015-10-12,10:44 PM,BLACK_S_BOT,60,2.1332497552688134,0,2.4701238250991984
225,DKN,2015-10-12,10:45 PM,BLACK_S_BOT,60,2.0980426166943595,1,7.6712331924136326
226,DKN,2015-10-12,10:46 PM,BLACK_S_BOT,60,1.9377985770515243,1,2.5306502303520735
227,DKN,2015-10-12,10:47 PM,BLACK_S_BOT,60,1.9641849718578623,1,1.6963450484578462
228,DKN,2015-10-12,10:48 PM,BLACK_S_BOT,60,2.0135967427977355,1,1.0839714996504357
229,DKN,2015-10-12,10:49 PM,BLACK_S_BOT,60,2.0570008043783075,1,2.5988649557843013
230,DKN,2015-10-12,10:50 PM,BLACK_S_BOT,60,2.0558880905432244,0,1.4025083411209809
231,DKN,2015-10-12,10:51 PM,BLACK_S_BOT,60,2.084440141962594,0,1.6397242674688437
232,DKN,2015-10-12,10:52 PM,BLACK_S_BOT,60,2.0707562109426623,0,1.7610378306885708
233,DKN,2015-10-12,10:53 PM,BLACK_S_BOT,60,2.0725563945966345,0,2.3970630492182377
234,DKN,2015-10-12,10:54 PM,BLACK_S_BOT,60,2.080578306026621,0,2.2061180138714858
235,DKN,2015-10-12,10:55 PM,BLACK_S_BOT,60,2.0740998068648,0,0.9071452917129128
236,DKN,2015-10-12,10:56 PM,BLACK_S_BOT,60,2.08617534202272,0,0.6624243842776611
237,DKN,2015-10-12,10:57 PM,BLACK_S_BOT,60,2.111152653147093,1,6.064250817271573
238,DKN,2015-10-12,10:58 PM,BLACK_S_BOT,60,2.058843842165756,1,5.119215857307523
239,DKN,2015-10-12,10:59 PM,BLACK_S_BOT,60,2.070063632212477,1,0.0
240,DKN,2015-10-19,10:00 PM,BLACK_S_BOT,60,2.9259584943447763,0,19.298385837862288
241,DKN,2015-10-19,10:01 PM,BLACK_S_BOT,60,2.6153694813738246,0,10.61585499354558
242,DKN,2015-10-19,10:02 PM,BLACK_S_BOT,60,2.436653525423145,0,6.216727578761848
243,DKN,2015-10-19,10:03 PM,BLACK_S_BOT,60,2.361784454988246,0,3.221387857123941
244,DKN,2015-10-19,10:04 PM,BLACK_S_BOT,60,2.3600338947266324,0,4.8158315352199565
245,DKN,2015-10-19,10:05 PM,BLACK_S_BOT,60,2.288022542395664,0,2.5192512111020924
246,DKN,2015-10-19,10:06 PM,BLACK_S_BOT,60,2.2681233018796774,0,2.122316130261308
247,DKN,2015-10-19,10:07 PM,BLACK_S_BOT,60,2.2558469866512514,0,1.703693358591374
248,DKN,2015-10-19,10:08 PM,BLACK_S_BOT,60,2.27356035055434,1,10.324067536496086
249,DKN,2015-10-19,10:09 PM,BLACK_S_BOT,60,2.050286203408123,1,4.741259799954258
250,DKN,2015-10-19,10:10 PM,BLACK_S_BOT,60,2.0276867843608626,1,3.769316202058072
251,DKN,2015-10-19,10:11 PM,BLACK_S_BOT,60,2.0093084672067287,1,2.483510494618248
252,DKN,2015-10-19,10:12 PM,BLACK_S_BOT,60,2.049361121759258,1,3.199200032579621
253,DKN,2015-10-19,10:13 PM,BLACK_S_BOT,60,2.0964311238204267,0,2.0089897252303093
254,DKN,2015-10-19,10:14 PM,BLACK_S_BOT,60,2.1279654528227736,0,1.614751884981449
255,DKN,2015-10-19,10:15 PM,BLACK_S_BOT,60,2.116343411650361,0,2.1971207491341063
256,DKN,2015-10-19,10:16 PM,BLACK_S_BOT,60,2.1202336773131147,0,1.3830991770127057
257,DKN,2015-10-19,10:17 PM,BLACK_S_BOT,60,2.1270237682671618,0,1.2862743610811258
258,DKN,2015-10-19,10:18 PM,BLACK_S_BOT,60,2.1248646365311967,0,1.751261415349251
259,DKN,2015-10-19,10:19 PM,BLACK_S_BOT,60,2.101530835388139,1,8.309231718047847
260,DKN,2015-10-19,10:20 PM,BLACK_S_BOT,60,1.971542055076012,1,4.079539485337508
261,DKN,2015-10-19,10:21 PM,BLACK_S_BOT,60,1.9408822100890104,1,2.7363265792971494
262,DKN,2015-10-19,10:22 PM,BLACK_S_BOT,60,1.952734559214004,1,1.4350587135228607
263,DKN,2015-10-19,10:23 PM,BLACK_S_BOT,60,1.999224333473657,1,1.5579555526610855
264,DKN,2015-10-19,10:24 PM,BLACK_S_BOT,60,2.0392778037076558,0,2.2996094982005424
